names,year,search_name,sum_by_year
Australia,1994,peacemaking,1
Australia,1995,conflict prevention,1
Australia,1995,conflict resolution,1
Australia,1996,peacekeeping,1
Australia,1997,conflict prevention,1
Australia,1997,conflict resolution,1
Australia,1997,conflict transformation,1
Australia,1998,conflict resolution,2
Australia,1998,conflict transformation,1
Australia,2002,conflict prevention,1
Australia,2002,conflict resolution,1
Australia,2002,peacekeeping,1
Australia,2003,conflict resolution,1
Australia,2003,peacekeeping,1
Australia,2004,conflict prevention,2
Australia,2004,peacekeeping,1
Australia,2005,conflict prevention,1
Australia,2005,conflict resolution,2
Australia,2006,conflict resolution,2
Australia,2007,conflict resolution,1
Australia,2008,peacekeeping,1
Australia,2008,peacemaking,1
Australia,2009,conflict prevention,1
Australia,2009,conflict resolution,1
Australia,2009,conflict transformation,1
Australia,2010,conflict prevention,1
Australia,2010,conflict resolution,2
Australia,2010,conflict transformation,1
Australia,2010,peacebuilding,1
Australia,2010,peacemaking,2
Australia,2011,conflict prevention,6
Australia,2011,conflict resolution,5
Australia,2011,conflict transformation,2
Australia,2011,peacebuilding,1
Australia,2011,peacekeeping,3
Australia,2012,conflict prevention,5
Australia,2012,conflict resolution,5
Australia,2012,conflict transformation,1
Australia,2012,peacebuilding,2
Australia,2012,peacekeeping,3
Australia,2012,peacemaking,1
Australia,2013,conflict prevention,3
Australia,2013,conflict resolution,3
Australia,2013,conflict transformation,2
Australia,2013,peacebuilding,1
Australia,2013,peacekeeping,1
Australia,2013,peacemaking,1
Australia,2014,conflict prevention,4
Australia,2014,conflict resolution,1
Australia,2014,conflict transformation,2
Australia,2014,peacebuilding,2
Australia,2014,peacekeeping,1
Australia,2014,peacemaking,5
Australia,2015,conflict prevention,2
Australia,2015,conflict resolution,3
Australia,2015,conflict transformation,6
Australia,2015,peacebuilding,8
Australia,2015,peacekeeping,4
Australia,2015,peacemaking,2
Australia,2016,conflict prevention,5
Australia,2016,conflict resolution,2
Australia,2016,conflict transformation,7
Australia,2016,peacebuilding,3
Australia,2016,peacekeeping,1
Australia,2016,peacemaking,1
Australia,2017,conflict prevention,6
Australia,2017,conflict resolution,7
Australia,2017,conflict transformation,7
Australia,2017,peacebuilding,5
Australia,2017,peacekeeping,2
Australia,2017,peacemaking,1
Australia,2018,conflict transformation,1
Australia,2018,peacebuilding,1
Australia,2018,peacekeeping,2
Austria,2009,conflict transformation,1
Austria,2010,conflict prevention,1
Austria,2010,conflict resolution,1
Austria,2010,conflict transformation,1
Austria,2010,peacemaking,1
Austria,2011,conflict transformation,1
Austria,2011,peacekeeping,1
Austria,2013,conflict transformation,2
Austria,2013,peacekeeping,1
Austria,2014,conflict transformation,1
Austria,2015,peacekeeping,2
Austria,2017,peacebuilding,1
Austria,2018,conflict transformation,1
Azerbaijan,1989,peacemaking,1
Azerbaijan,1995,peacemaking,1
Azerbaijan,2010,peacekeeping,1
Azerbaijan,2011,conflict prevention,2
Azerbaijan,2011,conflict resolution,3
Azerbaijan,2011,conflict transformation,1
Azerbaijan,2011,peacekeeping,1
Azerbaijan,2011,peacemaking,1
Azerbaijan,2012,conflict prevention,4
Azerbaijan,2012,conflict resolution,3
Azerbaijan,2012,conflict transformation,4
Azerbaijan,2012,peacemaking,2
Azerbaijan,2013,conflict prevention,1
Azerbaijan,2013,conflict resolution,1
Azerbaijan,2013,conflict transformation,1
Azerbaijan,2014,conflict prevention,2
Azerbaijan,2014,conflict resolution,1
Azerbaijan,2014,conflict transformation,2
Azerbaijan,2014,peacebuilding,1
Azerbaijan,2015,conflict prevention,2
Azerbaijan,2015,conflict resolution,2
Azerbaijan,2015,conflict transformation,2
Azerbaijan,2015,peacebuilding,1
Azerbaijan,2016,conflict prevention,3
Azerbaijan,2016,conflict resolution,3
Azerbaijan,2016,conflict transformation,4
Azerbaijan,2016,peacebuilding,2
Bahrain,2011,peacemaking,1
Bahrain,2015,peacebuilding,1
Bahrain,2018,conflict resolution,1
Bahrain,2018,conflict transformation,1
Bangladesh,2011,conflict prevention,1
Bangladesh,2011,conflict resolution,2
Bangladesh,2011,conflict transformation,1
Bangladesh,2011,peacemaking,1
Bangladesh,2013,peacebuilding,1
Bangladesh,2014,peacebuilding,1
Bangladesh,2014,peacekeeping,1
Bangladesh,2015,peacekeeping,2
Bangladesh,2016,peacemaking,1
Bangladesh,2017,peacebuilding,1
Bangladesh,2017,peacekeeping,1
Bangladesh,2017,peacemaking,1
Belgium,1981,conflict prevention,1
Belgium,2008,peacemaking,1
Belgium,2009,conflict transformation,1
Belgium,2011,conflict prevention,1
Belgium,2011,conflict resolution,1
Belgium,2011,conflict transformation,2
Belgium,2013,conflict prevention,1
Belgium,2013,conflict transformation,1
Belgium,2014,conflict transformation,1
Belgium,2016,conflict transformation,1
Belgium,2016,peacemaking,1
Belgium,2017,peacemaking,1
Belgium,2018,conflict transformation,1
Bermuda,2016,conflict prevention,1
Bermuda,2016,conflict transformation,1
Bermuda,2016,peacebuilding,1
Bermuda,2016,peacekeeping,1
Bhutan,2016,conflict transformation,1
Bosnia and Herzegovina,2010,conflict prevention,1
Bosnia and Herzegovina,2010,peacekeeping,2
Bosnia and Herzegovina,2011,conflict prevention,1
Bosnia and Herzegovina,2011,conflict resolution,1
Bosnia and Herzegovina,2011,conflict transformation,1
Bosnia and Herzegovina,2011,peacebuilding,3
Bosnia and Herzegovina,2011,peacekeeping,2
Bosnia and Herzegovina,2012,conflict prevention,1
Bosnia and Herzegovina,2012,conflict resolution,2
Bosnia and Herzegovina,2012,conflict transformation,2
Bosnia and Herzegovina,2012,peacebuilding,6
Bosnia and Herzegovina,2012,peacekeeping,2
Bosnia and Herzegovina,2012,peacemaking,2
Bosnia and Herzegovina,2013,conflict prevention,1
Bosnia and Herzegovina,2013,conflict resolution,2
Bosnia and Herzegovina,2013,conflict transformation,1
Bosnia and Herzegovina,2013,peacebuilding,3
Bosnia and Herzegovina,2014,conflict prevention,1
Bosnia and Herzegovina,2014,conflict transformation,1
Bosnia and Herzegovina,2014,peacebuilding,4
Bosnia and Herzegovina,2014,peacekeeping,1
Bosnia and Herzegovina,2014,peacemaking,2
Bosnia and Herzegovina,2015,conflict resolution,1
Bosnia and Herzegovina,2015,conflict transformation,1
Bosnia and Herzegovina,2015,peacebuilding,5
Bosnia and Herzegovina,2016,conflict prevention,1
Bosnia and Herzegovina,2016,conflict resolution,1
Bosnia and Herzegovina,2016,conflict transformation,1
Bosnia and Herzegovina,2016,peacebuilding,10
Bosnia and Herzegovina,2016,peacekeeping,4
Bosnia and Herzegovina,2016,peacemaking,1
Bosnia and Herzegovina,2017,conflict prevention,1
Bosnia and Herzegovina,2017,conflict resolution,1
Bosnia and Herzegovina,2017,peacebuilding,7
Bosnia and Herzegovina,2017,peacemaking,1
Bosnia and Herzegovina,2018,conflict prevention,1
Bosnia and Herzegovina,2018,conflict resolution,1
Bosnia and Herzegovina,2018,peacebuilding,1
Botswana,2001,conflict prevention,1
Botswana,2001,conflict transformation,1
Botswana,2004,peacekeeping,1
Botswana,2005,conflict resolution,1
Botswana,2009,conflict prevention,1
Botswana,2009,conflict resolution,1
Botswana,2009,peacebuilding,1
Botswana,2010,conflict transformation,1
Botswana,2012,conflict prevention,1
Botswana,2012,peacemaking,1
Botswana,2014,peacebuilding,1
Botswana,2014,peacemaking,1
Botswana,2015,conflict prevention,1
Botswana,2017,peacebuilding,1
Botswana,2017,peacemaking,1
Botswana,2018,conflict prevention,1
Botswana,2018,conflict resolution,1
Brazil,1971,conflict resolution,1
Brazil,2004,conflict transformation,1
Brazil,2004,peacekeeping,1
Brazil,2010,peacebuilding,1
Brazil,2010,peacekeeping,3
Brazil,2010,peacemaking,1
Brazil,2011,conflict transformation,2
Brazil,2011,peacebuilding,1
Brazil,2011,peacekeeping,1
Brazil,2012,conflict prevention,3
Brazil,2012,conflict resolution,3
Brazil,2012,conflict transformation,1
Brazil,2012,peacekeeping,2
Brazil,2012,peacemaking,1
Brazil,2013,peacebuilding,1
Brazil,2013,peacekeeping,2
Brazil,2014,conflict prevention,1
Brazil,2014,conflict transformation,2
Brazil,2014,peacebuilding,4
Brazil,2014,peacekeeping,3
Brazil,2014,peacemaking,1
Brazil,2015,conflict prevention,2
Brazil,2015,peacebuilding,5
Brazil,2015,peacekeeping,2
Brazil,2015,peacemaking,1
Brazil,2016,conflict prevention,1
Brazil,2016,conflict resolution,1
Brazil,2016,conflict transformation,1
Brazil,2016,peacebuilding,5
Brazil,2016,peacekeeping,5
Brazil,2016,peacemaking,2
Brazil,2017,conflict prevention,1
Brazil,2017,conflict transformation,1
Brazil,2017,peacebuilding,2
Brazil,2017,peacekeeping,1
Brazil,2017,peacemaking,2
Brazil,2018,peacebuilding,1
Brazil,2018,peacekeeping,2
Bulgaria,2010,conflict prevention,1
Bulgaria,2010,conflict transformation,1
Bulgaria,2011,conflict prevention,1
Bulgaria,2011,conflict resolution,1
Bulgaria,2011,conflict transformation,1
Bulgaria,2012,conflict prevention,1
Bulgaria,2013,conflict transformation,1
Bulgaria,2014,peacekeeping,1
Burkina Faso,2014,conflict resolution,1
Burkina Faso,2016,conflict transformation,1
Burkina Faso,2018,conflict resolution,1
Burkina Faso,2018,peacebuilding,2
Burkina Faso,2018,peacemaking,1
Burundi,2008,peacebuilding,1
Burundi,2010,conflict prevention,2
Burundi,2010,conflict transformation,1
Burundi,2010,peacebuilding,1
Burundi,2011,conflict prevention,1
Burundi,2011,conflict resolution,1
Burundi,2011,conflict transformation,2
Burundi,2011,peacebuilding,2
Burundi,2011,peacekeeping,3
Burundi,2012,conflict prevention,1
Burundi,2012,conflict resolution,1
Burundi,2012,conflict transformation,1
Burundi,2012,peacebuilding,2
Burundi,2012,peacekeeping,1
Burundi,2013,conflict prevention,2
Burundi,2013,conflict resolution,2
Burundi,2013,conflict transformation,2
Burundi,2013,peacebuilding,2
Burundi,2013,peacekeeping,2
Burundi,2013,peacemaking,2
Burundi,2014,conflict resolution,1
Burundi,2014,conflict transformation,1
Burundi,2014,peacebuilding,2
Burundi,2014,peacekeeping,1
Burundi,2014,peacemaking,1
Burundi,2015,conflict prevention,2
Burundi,2015,conflict resolution,1
Burundi,2015,peacebuilding,5
Burundi,2015,peacekeeping,2
Burundi,2015,peacemaking,1
Burundi,2016,conflict prevention,1
Burundi,2016,conflict resolution,2
Burundi,2016,conflict transformation,1
Burundi,2016,peacebuilding,2
Burundi,2016,peacemaking,1
Burundi,2017,conflict prevention,1
Burundi,2017,conflict resolution,1
Burundi,2017,conflict transformation,1
Burundi,2017,peacebuilding,4
Burundi,2017,peacekeeping,1
Burundi,2018,conflict prevention,1
Burundi,2018,conflict resolution,1
Burundi,2018,conflict transformation,2
Burundi,2018,peacebuilding,4
Burundi,2018,peacekeeping,2
Cambodia,1996,peacekeeping,2
Cambodia,2002,peacekeeping,1
Cambodia,2006,conflict prevention,1
Cambodia,2006,conflict resolution,1
Cambodia,2006,conflict transformation,1
Cambodia,2006,peacebuilding,1
Cambodia,2006,peacekeeping,1
Cambodia,2006,peacemaking,1
Cambodia,2010,conflict prevention,1
Cambodia,2010,conflict resolution,1
Cambodia,2010,conflict transformation,1
Cambodia,2010,peacebuilding,2
Cambodia,2010,peacekeeping,1
Cambodia,2011,conflict resolution,1
Cambodia,2011,conflict transformation,1
Cambodia,2011,peacebuilding,1
Cambodia,2011,peacekeeping,1
Cambodia,2011,peacemaking,1
Cambodia,2012,conflict transformation,1
Cambodia,2012,peacekeeping,1
Cambodia,2012,peacemaking,1
Cambodia,2013,conflict resolution,1
Cambodia,2013,peacebuilding,4
Cambodia,2013,peacekeeping,1
Cambodia,2013,peacemaking,3
Cambodia,2014,conflict prevention,1
Cambodia,2014,conflict resolution,1
Cambodia,2014,conflict transformation,1
Cambodia,2014,peacebuilding,1
Cambodia,2015,conflict resolution,1
Cambodia,2015,conflict transformation,1
Cambodia,2015,peacebuilding,4
Cambodia,2016,conflict prevention,2
Cambodia,2016,conflict transformation,3
Cambodia,2016,peacebuilding,4
Cambodia,2016,peacemaking,2
Cambodia,2017,conflict resolution,1
Cambodia,2017,conflict transformation,2
Cambodia,2017,peacebuilding,3
Cambodia,2017,peacekeeping,3
Cambodia,2018,conflict prevention,2
Cambodia,2018,conflict resolution,1
Cambodia,2018,conflict transformation,2
Cambodia,2018,peacebuilding,4
Cambodia,2018,peacekeeping,1
Cambodia,2018,peacemaking,1
Cameroon,2010,conflict prevention,1
Cameroon,2010,conflict transformation,1
Cameroon,2011,conflict resolution,2
Cameroon,2011,conflict transformation,1
Cameroon,2012,conflict prevention,1
Cameroon,2012,conflict resolution,1
Cameroon,2013,conflict transformation,1
Cameroon,2014,conflict prevention,1
Cameroon,2014,peacebuilding,1
Cameroon,2014,peacemaking,1
Cameroon,2016,conflict prevention,1
Cameroon,2016,conflict resolution,1
Cameroon,2016,conflict transformation,1
Cameroon,2016,peacekeeping,2
Canada,1980,conflict resolution,1
Canada,1990,conflict transformation,1
Canada,1992,peacekeeping,2
Canada,1992,peacemaking,2
Canada,1993,conflict resolution,2
Canada,1993,peacekeeping,6
Canada,1993,peacemaking,2
Canada,1994,peacekeeping,5
Canada,1994,peacemaking,4
Canada,1995,peacebuilding,3
Canada,1995,peacekeeping,6
Canada,1995,peacemaking,1
Canada,1996,peacebuilding,4
Canada,1996,peacekeeping,1
Canada,1996,peacemaking,1
Canada,1997,peacebuilding,3
Canada,1997,peacekeeping,2
Canada,1997,peacemaking,1
Canada,1998,conflict prevention,1
Canada,1998,conflict resolution,1
Canada,1998,peacebuilding,3
Canada,1998,peacekeeping,3
Canada,1998,peacemaking,2
Canada,1999,conflict prevention,1
Canada,1999,conflict resolution,1
Canada,1999,peacekeeping,4
Canada,1999,peacemaking,1
Canada,2000,conflict prevention,1
Canada,2000,conflict resolution,1
Canada,2000,peacebuilding,2
Canada,2001,peacebuilding,1
Canada,2002,peacebuilding,2
Canada,2002,peacekeeping,4
Canada,2002,peacemaking,2
Canada,2003,peacekeeping,1
Canada,2004,conflict transformation,1
Canada,2004,peacebuilding,2
Canada,2004,peacekeeping,4
Canada,2004,peacemaking,2
Canada,2005,conflict prevention,1
Canada,2005,conflict resolution,1
Canada,2005,conflict transformation,1
Canada,2005,peacebuilding,3
Canada,2005,peacekeeping,4
Canada,2005,peacemaking,1
Canada,2006,peacebuilding,3
Canada,2006,peacekeeping,2
Canada,2006,peacemaking,1
Canada,2007,conflict prevention,1
Canada,2008,conflict prevention,1
Canada,2009,conflict resolution,1
Canada,2009,peacemaking,1
Canada,2010,conflict resolution,1
Canada,2010,peacebuilding,3
Canada,2010,peacekeeping,2
Canada,2010,peacemaking,2
Canada,2011,conflict prevention,1
Canada,2011,conflict resolution,1
Canada,2011,conflict transformation,2
Canada,2011,peacekeeping,2
Canada,2011,peacemaking,1
Canada,2012,conflict prevention,1
Canada,2012,conflict resolution,1
Canada,2012,conflict transformation,1
Canada,2012,peacebuilding,1
Canada,2012,peacekeeping,3
Canada,2012,peacemaking,3
Canada,2013,conflict prevention,2
Canada,2013,conflict resolution,1
Canada,2013,conflict transformation,2
Canada,2013,peacebuilding,1
Canada,2013,peacemaking,2
Canada,2014,conflict transformation,3
Canada,2014,peacebuilding,2
Canada,2014,peacekeeping,1
Canada,2014,peacemaking,3
Canada,2015,conflict prevention,1
Canada,2015,conflict resolution,2
Canada,2015,conflict transformation,2
Canada,2015,peacekeeping,2
Canada,2015,peacemaking,2
Canada,2016,conflict prevention,1
Canada,2016,conflict resolution,1
Canada,2016,conflict transformation,2
Canada,2016,peacebuilding,2
Canada,2016,peacekeeping,4
Canada,2016,peacemaking,2
Canada,2017,conflict prevention,3
Canada,2017,conflict transformation,1
Canada,2017,peacebuilding,6
Canada,2017,peacekeeping,2
Canada,2017,peacemaking,1
Canada,2018,peacebuilding,1
Canada,2018,peacekeeping,5
Canada,2018,peacemaking,1
Central African Republic,2010,peacekeeping,1
Central African Republic,2011,conflict prevention,1
Central African Republic,2011,conflict resolution,1
Central African Republic,2012,peacebuilding,2
Central African Republic,2012,peacekeeping,1
Central African Republic,2013,conflict resolution,1
Central African Republic,2013,conflict transformation,1
Central African Republic,2013,peacebuilding,2
Central African Republic,2013,peacekeeping,2
Central African Republic,2013,peacemaking,1
Central African Republic,2014,conflict prevention,1
Central African Republic,2014,conflict resolution,1
Central African Republic,2014,conflict transformation,1
Central African Republic,2014,peacebuilding,1
Central African Republic,2014,peacekeeping,3
Central African Republic,2015,conflict prevention,1
Central African Republic,2015,conflict resolution,1
Central African Republic,2015,peacebuilding,3
Central African Republic,2015,peacekeeping,3
Central African Republic,2016,peacebuilding,3
Central African Republic,2016,peacekeeping,2
Central African Republic,2016,peacemaking,2
Central African Republic,2017,conflict prevention,1
Central African Republic,2017,conflict resolution,2
Central African Republic,2017,peacebuilding,3
Central African Republic,2017,peacekeeping,3
Central African Republic,2017,peacemaking,1
Chad,2003,peacekeeping,1
Chad,2010,peacekeeping,1
Chad,2011,conflict prevention,2
Chad,2011,conflict resolution,1
Chad,2011,conflict transformation,1
Chad,2011,peacebuilding,1
Chad,2011,peacekeeping,4
Chad,2012,peacebuilding,1
Chad,2012,peacekeeping,2
Chad,2013,peacebuilding,1
Chad,2013,peacekeeping,1
Chad,2013,peacemaking,1
Chad,2015,peacebuilding,2
Chad,2015,peacekeeping,1
Chad,2016,peacebuilding,1
Chad,2016,peacekeeping,3
Chad,2017,conflict prevention,1
Chad,2017,conflict resolution,1
Chad,2017,conflict transformation,2
Chad,2017,peacebuilding,2
Chad,2017,peacekeeping,2
Chile,2003,peacekeeping,1
Chile,2010,conflict prevention,1
Chile,2010,conflict transformation,1
Chile,2010,peacekeeping,1
Chile,2010,peacemaking,1
Chile,2011,conflict resolution,1
Chile,2011,peacebuilding,1
Chile,2011,peacekeeping,1
Chile,2011,peacemaking,1
Chile,2012,conflict prevention,1
Chile,2014,conflict transformation,1
Chile,2015,conflict transformation,2
Chile,2015,peacebuilding,2
Chile,2016,conflict prevention,1
Chile,2016,conflict transformation,1
Chile,2016,peacemaking,1
Chile,2017,peacekeeping,1
China,1966,peacekeeping,1
China,1966,peacemaking,1
China,1971,conflict resolution,1
China,1984,conflict resolution,1
China,1988,peacekeeping,1
China,1995,peacekeeping,1
China,1996,conflict transformation,2
China,1997,peacekeeping,1
China,1997,peacemaking,1
China,1998,peacekeeping,2
China,2002,conflict transformation,1
China,2003,peacekeeping,1
China,2004,peacekeeping,1
China,2005,peacekeeping,1
China,2006,conflict resolution,1
China,2007,conflict transformation,1
China,2007,peacebuilding,1
China,2008,conflict transformation,1
China,2008,peacemaking,1
China,2009,peacekeeping,1
China,2010,conflict prevention,2
China,2010,conflict resolution,3
China,2010,conflict transformation,3
China,2010,peacebuilding,3
China,2010,peacekeeping,1
China,2010,peacemaking,2
China,2011,conflict prevention,1
China,2011,conflict resolution,3
China,2011,conflict transformation,9
China,2011,peacebuilding,10
China,2011,peacekeeping,14
China,2011,peacemaking,4
China,2012,conflict prevention,4
China,2012,conflict resolution,5
China,2012,conflict transformation,4
China,2012,peacebuilding,2
China,2012,peacekeeping,7
China,2012,peacemaking,3
China,2013,conflict prevention,6
China,2013,conflict resolution,5
China,2013,conflict transformation,5
China,2013,peacebuilding,4
China,2013,peacekeeping,8
China,2013,peacemaking,2
China,2014,conflict prevention,11
China,2014,conflict resolution,7
China,2014,conflict transformation,8
China,2014,peacebuilding,7
China,2014,peacekeeping,13
China,2014,peacemaking,1
China,2015,conflict prevention,7
China,2015,conflict resolution,5
China,2015,conflict transformation,11
China,2015,peacebuilding,4
China,2015,peacekeeping,6
China,2015,peacemaking,4
China,2016,conflict prevention,9
China,2016,conflict resolution,9
China,2016,conflict transformation,15
China,2016,peacebuilding,5
China,2016,peacekeeping,7
China,2016,peacemaking,2
China,2017,conflict prevention,7
China,2017,conflict resolution,8
China,2017,conflict transformation,15
China,2017,peacebuilding,6
China,2017,peacekeeping,4
China,2017,peacemaking,6
China,2018,conflict prevention,3
China,2018,conflict resolution,3
China,2018,conflict transformation,5
China,2018,peacebuilding,2
China,2018,peacekeeping,5
China,2018,peacemaking,1
Colombia,2003,conflict transformation,1
Colombia,2007,peacebuilding,1
Colombia,2010,conflict resolution,1
Colombia,2010,conflict transformation,1
Colombia,2011,conflict prevention,4
Colombia,2011,conflict resolution,5
Colombia,2011,conflict transformation,4
Colombia,2011,peacebuilding,1
Colombia,2012,conflict resolution,1
Colombia,2012,peacebuilding,1
Colombia,2012,peacekeeping,1
Colombia,2012,peacemaking,1
Colombia,2013,conflict prevention,1
Colombia,2013,conflict transformation,2
Colombia,2013,peacebuilding,5
Colombia,2013,peacemaking,2
Colombia,2014,conflict prevention,1
Colombia,2014,conflict resolution,3
Colombia,2014,conflict transformation,2
Colombia,2014,peacebuilding,4
Colombia,2014,peacemaking,1
Colombia,2015,conflict prevention,1
Colombia,2015,conflict resolution,2
Colombia,2015,conflict transformation,2
Colombia,2015,peacebuilding,10
Colombia,2016,conflict resolution,4
Colombia,2016,conflict transformation,1
Colombia,2016,peacebuilding,5
Colombia,2016,peacekeeping,1
Colombia,2016,peacemaking,2
Colombia,2017,conflict prevention,3
Colombia,2017,conflict resolution,5
Colombia,2017,conflict transformation,4
Colombia,2017,peacebuilding,10
Colombia,2017,peacekeeping,1
Colombia,2017,peacemaking,6
Colombia,2018,conflict prevention,3
Colombia,2018,conflict resolution,1
Colombia,2018,conflict transformation,1
Colombia,2018,peacebuilding,6
Colombia,2018,peacemaking,1
Comoros,2012,peacekeeping,1
Comoros,2013,peacekeeping,1
Congo,1998,conflict transformation,1
